Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;5;50.4;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;0.0;0.0;0.0;2.6;14.4;7.6;6.6;999.0;999.0;19.2;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;6;171.7;0.0;0.0;0.7;6.8;17.0;13.8;0.0;0.0;0.0;5.0;0.6;23.0;0.0;0.0;0.0;2.2;6.4;6.0;0.0;0.0;0.0;32.5;0.0;0.0;3.0;3.9;0.0;0.0;0.0;50.8;888.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;7;120.4;4.4;30.0;23.7;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;0.4;0.0;0.0;0.0;0.0;0.0;24.2;4.1;1.2
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2025;12;6.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2026;1;175.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109.8;48.7;8.8;0.0;0.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2026;2;235.1;0.0;0.0;0.0;0.0;19.0;18.9;0.0;0.0;93.5;0.0;0.0;1.8;14.4;3.2;0.0;0.0;0.0;0.0;65.0;0.0;0.0;0.0;1.3;18.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2026;3;342.9;0.0;42.4;55.1;28.0;22.4;20.3;0.0;0.0;2.7;6.3;0.6;0.8;0.0;0.0;0.0;91.0;1.7;25.7;12.7;0.7;0.0;0.0;7.1;0.0;0.0;0.0;13.0;0.0;0.0;12.4;0.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2026;4;469.4;1.0;0.0;0.0;0.0;0.0;99.0;11.3;2.5;0.0;15.0;0.0;0.0;100.2;5.0;4.7;0.0;0.0;0.0;110.8;0.0;25.0;23.0;5.9;0.0;0.0;0.0;22.6;15.8;3.2;24.4;888.0
Caucaia;ESCOLA ECONOMISTA RUBENS;-3.7748611111111;-38.626055555556;2026;5;260.6;25.0;0.0;57.0;50.0;0.0;10.6;0.0;5.0;9.3;10.0;10.0;0.7;10.0;1.8;2.3;20.9;28.0;20.0;0.0;0.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0
